project,class,complexity,max_line,max_branch
JacksonDatabind,SimpleType,16,19.78,16.0
JacksonDatabind,StdDateFormat,15,72.08,57.25
JacksonDatabind,TypeFactory,14,7.32,0.74
JacksonXml,FromXmlParser,29,0.0,0.0
JacksonXml,StaxUtil,12,60.0,72.5
JacksonXml,ToXmlGenerator,20,0.0,0.0
JacksonXml,XmlFactory,25,14.34,2.88
Jsoup,CharacterReader,11,43.31,32.0
Jsoup,DataUtil,22,56.25,32.0
Jsoup,FormElement,12,0.0,0.0
Jsoup,HtmlTreeBuilder,15,7.53,5.24
Jsoup,NodeTraversor,12,0.0,0.0
Jsoup,Tag,11,63.73,24.24
Jsoup,TokenQueue,12,51.77,45.38
Jsoup,Tokeniser,18,0.0,0.0
JxPath,BasicTypeConverter,32,65.33,65.57
JxPath,DOMNodePointer,12,0.56,0.36
JxPath,DescendantContext,11,0.0,0.0
JxPath,JDOMNodePointer,12,4.22,4.04
JxPath,JXPathBasicBeanInfo,14,66.67,70.0
JxPath,MethodLookupUtils,16,7.19,11.0
JxPath,PackageFunctions,18,13.33,12.5
JxPath,PredicateContext,12,0.0,0.0
JxPath,PropertyIterator,13,0.0,0.0
JxPath,SimpleCharStream,19,70.39,53.57
JxPath,Step,15,3.7,2.0
JxPath,ValueUtils,12,45.93,54.05
Lang,AnnotationUtils,19,6.14,11.96
Lang,BooleanUtils,16,84.21,85.16
Lang,ClassUtils,19,64.43,57.83
Lang,CompareToBuilder,15,30.86,27.92
Lang,Conversion,23,82.53,75.44
Lang,DateUtils,19,69.03,56.88
Lang,DurationFormatUtils,20,76.92,69.92
Lang,EqualsBuilder,14,63.74,62.93
Lang,ExtendedMessageFormat,11,14.52,9.01
Lang,FastDatePrinter,30,61.76,54.9
Lang,FieldUtils,18,63.64,72.22
Lang,HashCodeBuilder,11,75.97,58.16
Lang,LocaleUtils,19,70.33,62.86
Lang,NumericEntityUnescaper,12,65.85,64.58
Lang,ObjectUtils,11,85.16,95.12
Lang,RandomStringUtils,16,70.69,73.21
Lang,StringUtils,14,82.17,77.92
Math,ArithmeticUtils,14,68.9,65.87
Math,ArrayFieldVector,14,0.0,0.0
Math,Beta,16,31.11,40.7
Math,BicubicSplineInterpolator,14,0.0,0.0
Math,BracketingNthOrderBrentSolver,19,0.0,0.0
Math,BracketingNthOrderBrentSolverDFP,19,0.0,0.0
Math,Dfp,31,66.39,57.46
Math,DfpMath,28,55.2,37.11
Math,FastFourierTransformer,13,0.0,0.0
Math,FastMath,29,74.54,51.94
Math,FieldLUDecomposition,12,0.0,0.0
Math,Frequency,11,73.65,62.5
Math,GaussNewtonOptimizer,16,0.0,0.0
Math,LUDecomposition,12,87.06,87.04
Math,LoessInterpolator,16,0.0,0.0
Math,MathArrays,13,75.97,60.64
Math,MillerUpdatingRegression,21,6.25,2.19
Math,MultiStartUnivariateOptimizer,12,0.0,0.0
Math,MultivariateNormalMixtureExpectationMaximization,15,5.41,9.26
Math,NaturalRanking,13,53.44,55.36
Math,OpenIntToDoubleHashMap,15,45.86,35.29
Math,OrderedTuple,13,0.0,0.0
Math,ProperBigFractionFormat,11,55.22,48.15
Math,QRDecomposition,14,80.52,71.43
Math,RealMatrixFormat,16,13.21,0.0
Math,Rotation,25,14.52,1.85
Math,SimpleRegression,13,48.48,47.58
Math,SmoothingPolynomialBicubicSplineInterpolator,13,0.0,0.0
Math,SummaryStatistics,13,70.31,56.9
Math,TricubicSplineInterpolator,23,0.0,0.0
Time,DateTimeFormatterBuilder,30,73.44,61.17
Time,DateTimeParserBucket,18,30.56,19.35
Time,DateTimeZoneBuilder,17,39.16,26.25
Time,Days,12,76.32,53.85
Time,FormatUtils,12,72.19,69.61
Time,Hours,13,66.67,47.5
Time,ISODateTimeFormat,11,70.73,43.51
Time,Months,17,80.77,61.36
Time,PeriodFormatterBuilder,26,50.57,40.96
Time,PeriodType,17,92.34,88.46
Time,ZoneInfoCompiler,18,43.8,40.56
