project,class,complexity,max_line,max_branch
Math,MultivariateNormalMixtureExpectationMaximization,15,44.14,40.74
JacksonCore,NameN,15,56.41,65.62
Math,NaturalRanking,13,54.96,55.36
Jsoup,NodeTraversor,12,0.0,0.0
JacksonDatabind,NumberDeserializers,22,0.0,0.0
JacksonCore,NumberInput,12,87.22,82.57
Lang,NumericEntityUnescaper,12,0.0,0.0
Lang,ObjectUtils,11,86.72,87.8
JacksonDatabind,ObjectWriter,11,10.6,2.63
Math,OpenIntToDoubleHashMap,15,59.24,51.47
Math,OrderedTuple,13,83.74,72.34
JacksonDatabind,POJOPropertiesCollector,16,0.0,0.0
JxPath,PackageFunctions,18,13.33,7.5
Time,PeriodFormatterBuilder,26,51.72,33.73
Time,PeriodType,17,77.42,62.5
Codec,PhoneticEngine,13,0.0,0.0
Cli,PosixParser,11,0.0,0.0
JxPath,PredicateContext,12,0.0,0.0
Math,ProperBigFractionFormat,11,0.0,0.0
JxPath,PropertyIterator,13,0.0,0.0
Collections,PrototypeFactory,16,0.0,0.0
Math,QRDecomposition,14,98.7,92.86
Codec,QuotedPrintableCodec,11,29.27,18.29
Lang,RandomStringUtils,16,63.79,66.07
JacksonCore,ReaderBasedJsonParser,30,0.0,0.0
Math,RealMatrixFormat,16,69.81,59.09
Math,Rotation,25,12.6,4.63
JxPath,SimpleCharStream,19,0.0,0.0
Math,SimpleRegression,13,13.42,3.23
JacksonDatabind,SimpleType,16,36.26,28.0
Math,SmoothingPolynomialBicubicSplineInterpolator,13,0.0,0.0
JacksonXml,StaxUtil,12,57.5,67.5
JacksonDatabind,StdDateFormat,15,20.14,8.4
JxPath,Step,15,3.7,2.0
Lang,StringUtils,14,73.66,66.08
Math,SummaryStatistics,13,31.25,31.03
Jsoup,Tag,11,71.57,42.42
Compress,TarArchiveInputStream,13,2.87,4.03
JacksonXml,ToXmlGenerator,20,0.0,0.0
JacksonCore,TokenFilterContext,11,0.0,0.0
Jsoup,TokenQueue,12,56.74,56.15
Jsoup,Tokeniser,18,0.0,0.0
Math,TricubicSplineInterpolator,23,0.0,0.0
JacksonDatabind,TypeFactory,14,7.32,0.74
JacksonCore,UTF32Reader,14,0.0,0.0
JacksonCore,UTF8JsonGenerator,11,0.0,0.0
JxPath,ValueUtils,12,21.54,21.62
JacksonXml,XmlFactory,25,12.3,6.73
Compress,ZipArchiveInputStream,18,2.48,2.21
Time,ZoneInfoCompiler,18,14.05,13.29
