project,class,max_complexity,sum_complexity,methods,baseline_line_qwen3-coder:30b-a3b-q8_0_think_mcts,panta_basic_line_qwen3-coder:30b-a3b-q8_0_think_mcts,panta_coverage_line_qwen3-coder:30b-a3b-q8_0_think_mcts,panta_line_qwen3-coder:30b-a3b-q8_0_think_mcts,symprompt_line_qwen3-coder:30b-a3b-q8_0_think_mcts,baseline_branch_qwen3-coder:30b-a3b-q8_0_think_mcts,panta_basic_branch_qwen3-coder:30b-a3b-q8_0_think_mcts,panta_coverage_branch_qwen3-coder:30b-a3b-q8_0_think_mcts,panta_branch_qwen3-coder:30b-a3b-q8_0_think_mcts,symprompt_branch_qwen3-coder:30b-a3b-q8_0_think_mcts
Lang-4f,BooleanUtils,16,1.0,36,,,,30.53,,,,,19.92,
Lang-4f,EqualsBuilder,14,2.0,30,,,,72.9,,,,,61.64,
Lang-4f,DurationFormatUtils,20,1,15,,,,71.49,,,,,58.65,
Lang-4f,AnnotationUtils,19,7.5,4,,,,34.21,,,,,33.7,
Lang-4f,ObjectUtils,11,1.0,30,,,,79.69,,,,,87.8,
Lang-4f,DateUtils,19,1.0,54,,,,17.42,,,,,15.14,
Lang-4f,FastDatePrinter,30,1,51,,,,64.12,,,,,57.84,
Lang-4f,HashCodeBuilder,11,1,31,,,,82.47,,,,,71.43,
Lang-4f,LocaleUtils,19,3.0,8,,,,95.6,,,,,92.86,
Lang-4f,FieldUtils,18,1.5,30,,,,69.23,,,,,65.28,
Lang-4f,ClassUtils,19,2,35,,,,79.6,,,,,66.09,
Lang-4f,RandomStringUtils,16,1,9,,,,84.48,,,,,91.07,
Lang-4f,CompareToBuilder,15,2,27,,,,37.5,,,,,32.08,
Lang-4f,ExtendedMessageFormat,11,1.0,8,,,,16.67,,,,,8.11,
Math-2f,Rotation,25,1.0,12,,,,0.0,,,,,0.0,
Math-2f,QRDecomposition,14,4.0,8,,,,58.44,,,,,42.86,
Math-2f,MillerUpdatingRegression,21,4,9,,,,20.15,,,,,15.33,
Math-2f,FastFourierTransformer,13,2,9,,,,0.0,,,,,0.0,
Math-2f,MathArrays,13,2.0,44,,,,3.96,,,,,11.65,
Math-2f,OpenIntToDoubleHashMap,15,3.5,10,,,,61.78,,,,,47.06,
Math-2f,MultiStartUnivariateOptimizer,12,2,3,,,,0.0,,,,,0.0,
Math-2f,GaussNewtonOptimizer,16,16,1,,,,22.03,,,,,11.54,
Math-2f,DfpMath,28,3.0,20,,,,0.0,,,,,0.0,
Math-2f,SummaryStatistics,13,1,17,,,,90.69,,,,,70.69,
Math-2f,BracketingNthOrderBrentSolver,19,1,3,,,,0.0,,,,,0.0,
Math-2f,FieldLUDecomposition,12,4.0,8,,,,0.0,,,,,0.0,
Math-2f,Dfp,31,1.0,94,,,,0.0,,,,,0.0,
Math-2f,NaturalRanking,13,7.0,2,,,,49.63,,,,,44.64,
Math-2f,SmoothingPolynomialBicubicSplineInterpolator,13,13,1,,,,98.08,,,,,90.62,
Math-2f,BracketingNthOrderBrentSolverDFP,19,10.0,2,,,,0.0,,,,,0.0,
Math-2f,LUDecomposition,12,4.0,6,,,,96.47,,,,,90.74,
Math-2f,ArrayFieldVector,14,2.0,38,,,,0.0,,,,,0.0,
Math-2f,Beta,16,1.0,6,,,,91.67,,,,,84.88,
Math-2f,Frequency,11,1.0,32,,,,78.17,,,,,76.79,
Math-2f,BicubicSplineInterpolator,14,14,1,,,,100.0,,,,,100.0,
Math-2f,FastMath,29,2,59,,,,29.27,,,,,17.88,
Math-2f,RealMatrixFormat,16,2,5,,,,49.54,,,,,22.73,
Math-2f,ArithmeticUtils,14,4,25,,,,10.34,,,,,7.14,
Math-2f,TricubicSplineInterpolator,23,23,1,,,,96.63,,,,,88.89,
Math-2f,LoessInterpolator,16,2,3,,,,0.0,,,,,0.0,
Math-2f,SimpleRegression,13,2,21,,,,7.94,,,,,4.03,
Math-2f,MultivariateNormalMixtureExpectationMaximization,15,2.0,6,,,,37.39,,,,,35.19,
Math-2f,ProperBigFractionFormat,11,3,3,,,,0.0,,,,,0.0,
Math-2f,OrderedTuple,13,4,3,,,,82.81,,,,,67.02,
